#nodeA	nodeB	score1
BCR(613)	HCK(3055)	0
BCR(613)	IRS1(3667)	0
BCR(613)	JAK2(3717)	0
BCR(613)	PTPN1(5770)	0
BCR(613)	PTPN6(5777)	0
BCR(613)	PTPN11(5781)	0
BCR(613)	RASA1(5921)	0
BCR(613)	SHC1(6464)	0
BCR(613)	TP53(7157)	0
BCR(613)	VAV1(7409)	0
BCR(613)	YWHAE(7531)	0
CEACAM1(634)	FLNA(2316)	0
CEACAM1(634)	INSR(3643)	0
CEACAM1(634)	MAP3K10(4294)	0
CEACAM1(634)	PTPN6(5777)	0
CEACAM1(634)	PTPN11(5781)	0
CEACAM1(634)	SHC1(6464)	0
BCL2A1(597)	BOK(666)	0
